{:jobTitle=>"Terraform/ DevOps Engineer", :companyName=>"XGen", :companyLocation=>"Vancouver, BC•Temporarily Remote"}
{:jobTitle=>"Software Developer - Co-op", :companyName=>"Kano Applications", :companyLocation=>"Victoria, BC•Remote"}
{:jobTitle=>"Software Developer", :companyName=>"amdocs", :companyLocation=>"Toronto, ON+1 location"}
{:jobTitle=>"Junior DevOps Engineer", :companyName=>"RBC", :companyLocation=>"Toronto, ON"}
{:jobTitle=>"Entry Level Software Engineer", :companyName=>"Motorola Solutions", :companyLocation=>"Gatineau, QC"}
{:jobTitle=>"Summer Software Engineer Co-Op", :companyName=>"Motorola Solutions", :companyLocation=>"Gatineau, QC"}
{:jobTitle=>"Software Developers (all levels) - Sofware Defined Networkin...", :companyName=>"NoviFlow", :companyLocation=>"Montréal, QC"}
{:jobTitle=>"Full Stack Developer", :companyName=>"MAD Elevator Inc.", :companyLocation=>"Mississauga, ON•Remote"}
{:jobTitle=>"Moodle consultant and developer", :companyName=>"Eight Branches Academy of Eastern Medicine", :companyLocation=>"Toronto, ON•Temporarily Remote"}
{:jobTitle=>"Software Engineer", :companyName=>"Motorola Solutions", :companyLocation=>"Gatineau, QC"}
{:jobTitle=>"Full Stack Software Developer - New Grad", :companyName=>"Enphase Energy", :companyLocation=>"Montréal, QC"}
{:jobTitle=>"Software Development Engineer", :companyName=>"CEDENT", :companyLocation=>"Saskatoon, SK"}
{:jobTitle=>"Junior Software Developer", :companyName=>"XY Capital Limited", :companyLocation=>"Vancouver, BC"}
{:jobTitle=>"newBusiness Development Representative, Services and Software S...", :companyName=>"Delbridge Solutions Inc.", :companyLocation=>"Concord, ON"}
{:jobTitle=>"Junior Software Developer", :companyName=>"Wedge Networks", :companyLocation=>"Calgary, AB"}
{:jobTitle=>"(Canada) Software Development Engineer - Sr", :companyName=>"Thomson Reuters", :companyLocation=>"Toronto, ON"}
{:jobTitle=>"Application Developer Consultant", :companyName=>"NexJ Systems", :companyLocation=>"Toronto, ON"}
{:jobTitle=>"2022 Capco Associate - Developer", :companyName=>"CAPCO", :companyLocation=>"Toronto, ON"}
{:jobTitle=>"Sr. Infrastructure Engineer - Cloud Providers", :companyName=>"HashiCorp", :companyLocation=>"British Columbia•Remote"}
{:jobTitle=>"Sr. Infrastructure Engineer - Cloud Providers", :companyName=>"HashiCorp", :companyLocation=>"British Columbia•Remote"}
{:jobTitle=>"Software Video Compression R&D Engineer", :companyName=>"Intel", :companyLocation=>"Vancouver, BC"}
{:jobTitle=>"Deployment Automation Engineer", :companyName=>"High Tech Genesis", :companyLocation=>"Ottawa, ON"}
{:jobTitle=>"Software Developer I", :companyName=>"SchedulePro", :companyLocation=>"Vancouver, BC"}
{:jobTitle=>"Software Engineer", :companyName=>"Diabsolut Inc.", :companyLocation=>"Pointe-Claire, QC•Remote"}
{:jobTitle=>"Full Stack Developer", :companyName=>"Versaterm Public Safety", :companyLocation=>"Ottawa, ON"}
{:jobTitle=>"Backend Cloud Software Developer (Can be remote within Canad...", :companyName=>"BluWave-ai", :companyLocation=>"Ottawa, ON•Remote"}
{:jobTitle=>"Reliability Test Engineer", :companyName=>"Lumentum Operations LLC", :companyLocation=>"Ottawa, ON"}
{:jobTitle=>"3D Software Developer", :companyName=>"ThreeDify", :companyLocation=>"Ottawa, ON"}
{:jobTitle=>"Junior Python Developer", :companyName=>"DNEG", :companyLocation=>"Vancouver, BC+1 location"}
{:jobTitle=>"Front End Web Developer (Intern)", :companyName=>"0footprint Tech Services", :companyLocation=>"Surrey, BC"}
{:jobTitle=>"Data Engineering Platform Developer (Can be remote within Ca...", :companyName=>"BluWave-ai", :companyLocation=>"Ottawa, ON•Remote"}
{:jobTitle=>"Front End Developer Intern", :companyName=>"LeapGrad Corp.", :companyLocation=>"Toronto, ON•Temporarily Remote"}
{:jobTitle=>"newAzure- SQL Developer", :companyName=>"SoftTech Labs Inc.", :companyLocation=>"Toronto, ON•Remote"}
{:jobTitle=>"Entry Level Technical Support Engineer (Java ,SQL) - Vancouv...", :companyName=>"Guidewire Software, Inc.", :companyLocation=>"Remote"}
{:jobTitle=>"Junior Software Developer", :companyName=>"XY Capital Limited", :companyLocation=>"Vancouver, BC"}
{:jobTitle=>"newBusiness Development Representative, Services and Software S...", :companyName=>"Delbridge Solutions Inc.", :companyLocation=>"Concord, ON"}
{:jobTitle=>"Junior Software Developer", :companyName=>"Wedge Networks", :companyLocation=>"Calgary, AB"}
{:jobTitle=>"(Canada) Software Development Engineer - Sr", :companyName=>"Thomson Reuters", :companyLocation=>"Toronto, ON"}
{:jobTitle=>"Application Developer Consultant", :companyName=>"NexJ Systems", :companyLocation=>"Toronto, ON"}
{:jobTitle=>"2022 Capco Associate - Developer", :companyName=>"CAPCO", :companyLocation=>"Toronto, ON"}
{:jobTitle=>"Sr. Infrastructure Engineer - Cloud Providers", :companyName=>"HashiCorp", :companyLocation=>"British Columbia•Remote"}
{:jobTitle=>"Software Video Compression R&D Engineer", :companyName=>"Intel", :companyLocation=>"Vancouver, BC"}
{:jobTitle=>"Deployment Automation Engineer", :companyName=>"High Tech Genesis", :companyLocation=>"Ottawa, ON"}
{:jobTitle=>"Software Developer I", :companyName=>"SchedulePro", :companyLocation=>"Vancouver, BC"}
{:jobTitle=>"newNI SAAT Data Modeler/Developer", :companyName=>"NOKIA", :companyLocation=>"Ottawa, ON"}
{:jobTitle=>"Integration Developer", :companyName=>"Allocadia", :companyLocation=>"Vancouver, BC"}
{:jobTitle=>"(Canada) Software Development Engineer", :companyName=>"Thomson Reuters", :companyLocation=>"Toronto, ON"}
{:jobTitle=>"Front-End Developer (Internship)", :companyName=>"Workland", :companyLocation=>"Montréal, QC"}
{:jobTitle=>"new.NET Developer (Regina) - 3421", :companyName=>"Solvera", :companyLocation=>"Regina, SK+2 locations"}
{:jobTitle=>"All Stars Youth Programmer Part-time (2)", :companyName=>"Boys and Girls Club of Yukon", :companyLocation=>"Whitehorse, YT"}
{:jobTitle=>"Software Developer - Full-Stack", :companyName=>"Reliable Controls", :companyLocation=>"Victoria, BC"}
{:jobTitle=>"Backend Software Developer (Can be remote within Canada)", :companyName=>"BluWave-ai", :companyLocation=>"Ottawa, ON•Remote"}
{:jobTitle=>"R&D Engineer II (Software Developer), CFD", :companyName=>"ANSYS", :companyLocation=>"Montréal, QC"}
{:jobTitle=>"Developer", :companyName=>"SimplyCast", :companyLocation=>"Dartmouth, NS•Remote"}
{:jobTitle=>"Non Credit Instructor- Software Development", :companyName=>"Red Deer College", :companyLocation=>"Red Deer, AB"}
{:jobTitle=>"R&D Engineer II (C++ Software Developer) - Electronics Deskt...", :companyName=>"ANSYS", :companyLocation=>"Vancouver, BC"}
{:jobTitle=>"QA Core Automation Developer", :companyName=>"JSI", :companyLocation=>"Canada"}
{:jobTitle=>"Solution Architect, Cloud (Pre-Sales)", :companyName=>"TeraGo Networks", :companyLocation=>"Remote"}
{:jobTitle=>"R&D Engineer II - C++ Software Developer", :companyName=>"ANSYS", :companyLocation=>"Vancouver, BC•Remote"}
{:jobTitle=>"R&D Engineer II - C++ Software Developer", :companyName=>"ANSYS", :companyLocation=>"Vancouver, BC•Remote"}
{:jobTitle=>"Microsoft Dynamics 365 CE Developer", :companyName=>"CGI Inc", :companyLocation=>"Montréal, QC"}
{:jobTitle=>"Développeur AR/VR/C++ - AR/VR/C++ Developer", :companyName=>"CAE Inc.", :companyLocation=>"Saint-Laurent, QC"}
{:jobTitle=>"All Stars Youth Programmer Lead", :companyName=>"Boys and Girls Club of Yukon", :companyLocation=>"Whitehorse, YT"}
{:jobTitle=>"Programmeur moteur / Engine Programmer", :companyName=>"CAE Inc.", :companyLocation=>"Saint-Laurent, QC"}
{:jobTitle=>"Sales Development Representative (Software)", :companyName=>"PDFTron Systems Inc.", :companyLocation=>"Vancouver, BC"}
{:jobTitle=>"C++ Developer , Bilingual Portuguese French", :companyName=>"GIRO", :companyLocation=>"Montréal, QC"}
{:jobTitle=>"newAzure- SQL Developer", :companyName=>"SoftTech Labs Inc.", :companyLocation=>"Toronto, ON•Remote"}
{:jobTitle=>"Junior/Intermediate PHP Web Developer", :companyName=>"DiliTrust", :companyLocation=>"Montréal, QC"}
{:jobTitle=>"Analyst-Programmer (bilingual German-French)", :companyName=>"GIRO", :companyLocation=>"Montréal, QC"}
{:jobTitle=>"R&D Engineer II (Software Developer), CFD", :companyName=>"ANSYS", :companyLocation=>"Montréal, QC"}
{:jobTitle=>"Developer", :companyName=>"SimplyCast", :companyLocation=>"Dartmouth, NS•Remote"}
{:jobTitle=>"Non Credit Instructor- Software Development", :companyName=>"Red Deer College", :companyLocation=>"Red Deer, AB"}
{:jobTitle=>"R&D Engineer II (C++ Software Developer) - Electronics Deskt...", :companyName=>"ANSYS", :companyLocation=>"Vancouver, BC"}
{:jobTitle=>"QA Core Automation Developer", :companyName=>"JSI", :companyLocation=>"Canada"}
{:jobTitle=>"Solution Architect, Cloud (Pre-Sales)", :companyName=>"TeraGo Networks", :companyLocation=>"Remote"}
{:jobTitle=>"R&D Engineer II - C++ Software Developer", :companyName=>"ANSYS", :companyLocation=>"Vancouver, BC•Remote"}
{:jobTitle=>"Développeur AR/VR/C++ - AR/VR/C++ Developer", :companyName=>"CAE Inc.", :companyLocation=>"Saint-Laurent, QC"}
{:jobTitle=>"Microsoft Dynamics 365 CE Developer", :companyName=>"CGI", :companyLocation=>"Montréal, QC"}
{:jobTitle=>"All Stars Youth Programmer Lead", :companyName=>"Boys and Girls Club of Yukon", :companyLocation=>"Whitehorse, YT"}
{:jobTitle=>"Programmeur moteur / Engine Programmer", :companyName=>"CAE Inc.", :companyLocation=>"Saint-Laurent, QC"}
{:jobTitle=>"Sales Development Representative (Software)", :companyName=>"PDFTron Systems Inc.", :companyLocation=>"Vancouver, BC"}
{:jobTitle=>"C++ Developer , Bilingual Portuguese French", :companyName=>"GIRO", :companyLocation=>"Montréal, QC"}
{:jobTitle=>"Junior/Intermediate PHP Web Developer", :companyName=>"DiliTrust", :companyLocation=>"Montréal, QC"}
{:jobTitle=>"Analyst-Programmer (bilingual German-French)", :companyName=>"GIRO", :companyLocation=>"Montréal, QC"}
